1;0;18;17;20;13;19;9;20;23;21;5;0;20;22;16;9;22;22;13;10;4;1;5;3;9;4;1;16;5;8;20;14;15;26;24;1;7;6;11;4;16;16;4;10;0;20;8;22;5;21;22;25;11;0;1;10;20;18;26;15
2;15;0;8;18;4;7;15;21;4;11;5;24;0;11;1;10;11;10;7;23;4;2;18;3;2;7;4;12;1;23;1;5;11;9;23;4;6;1;15;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;1;9;0;23;1;20;24;1;21;23;8;17;1;26;8;4;2;15;24;3;5;9;4;10;10;3;23;3;9;13;18;8;14;1;4;15;10;17;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;13;14;21;0;3;2;2;23;4;7;21;24;12;19;1;12;2;20;24;6;18;10;13;26;13;3;19;17;14;25;23;18;1;26;2;4;1;20;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;11;19;2;0;3;9;3;22;3;0;1;21;26;3;10;12;7;18;18;21;17;14;1;18;13;19;11;4;13;1;26;2;12;7;20;5;16;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;19;12;17;3;11;0;20;2;12;0;20;4;10;10;18;1;17;21;9;18;14;11;19;13;14;21;20;23;15;25;20;15;7;5;5;10;6;25;12;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;15;21;22;14;21;3;0;15;0;13;14;18;0;25;0;2;12;10;11;25;25;9;18;13;5;12;7;4;18;21;16;26;25;0;10;13;21;13;17;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;15;4;13;4;3;2;22;0;4;12;6;2;10;5;9;12;26;22;19;4;2;2;20;17;1;9;1;14;3;14;20;25;19;25;0;23;17;2;19;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;14;14;13;24;8;22;25;8;0;6;17;12;25;8;21;15;9;4;16;12;7;20;6;21;1;20;21;24;26;23;5;9;10;9;22;23;17;7;21;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;2;0;26;16;9;21;5;7;14;0;10;20;21;19;15;16;20;24;26;18;23;23;12;5;22;21;17;19;12;24;13;26;15;3;15;5;12;9;26;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;23;9;1;6;2;16;11;22;13;11;0;2;25;23;15;4;18;25;10;10;26;23;13;15;11;5;3;16;6;12;15;25;24;14;16;19;5;5;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;8;20;19;6;16;23;26;23;21;25;23;0;10;21;25;25;6;3;1;11;9;2;16;23;15;3;12;23;8;7;16;24;15;25;16;10;14;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;12;24;23;22;8;21;20;14;24;10;25;22;0;1;3;18;16;6;20;12;3;0;18;17;4;16;22;3;20;24;18;20;9;5;5;4;13;26;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;12;23;14;7;24;18;14;2;13;7;3;6;23;0;21;23;0;0;18;4;9;15;11;18;24;16;23;17;2;11;3;18;23;15;22;19;1;13;22;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
